generation,best_fitness,avg_fitness,worst_fitness
755,16.0,9.8567,5.0
756,16.0,9.96,3.6667
757,16.3333,10.0833,3.0
758,19.3333,9.59,3.3333
759,18.6667,9.8967,3.6667
760,19.3333,9.7967,4.6667
761,21.0,10.06,4.0
762,18.3333,9.7033,4.0
763,18.3333,10.26,3.6667
764,16.3333,10.0067,4.3333
765,18.0,10.4933,5.3333
766,15.6667,9.6433,4.0
767,16.0,9.8967,4.6667
768,18.0,9.62,4.3333
769,17.3333,9.9967,3.3333
770,16.3333,10.0167,4.0
771,16.3333,9.6567,4.3333
772,16.0,9.6733,4.3333
773,16.6667,10.04,3.6667
774,20.3333,10.3167,4.0
775,17.6667,9.9367,4.0
776,16.0,10.04,3.0
777,16.6667,10.0933,3.6667
778,18.3333,9.9267,3.3333
779,17.0,10.14,4.0
780,16.6667,9.9567,4.0
781,17.6667,9.8867,4.3333
782,17.3333,9.58,4.6667
783,17.3333,10.0633,3.0
784,18.0,10.08,3.3333
785,16.6667,9.88,4.3333
786,20.6667,9.88,3.3333
787,16.6667,10.2433,4.3333
788,16.3333,9.8067,4.0
789,16.0,9.8367,3.0
790,19.0,10.4367,5.0
791,17.0,9.99,5.0
792,15.6667,10.0733,4.3333
793,15.6667,9.7233,3.3333
794,19.6667,9.4133,3.6667
795,24.6667,10.09,3.6667
796,16.6667,9.6867,4.0
797,16.0,9.9367,4.3333
798,17.0,10.12,3.3333
799,15.6667,9.77,3.6667
800,16.0,10.1267,5.0
801,15.6667,9.8067,3.3333
802,18.3333,9.8767,4.3333
803,16.0,10.2167,3.3333
804,15.0,10.1633,4.0
805,15.6667,9.9833,4.0
806,16.3333,10.0267,3.6667
807,15.6667,10.4333,4.3333
808,18.3333,10.4633,3.6667
809,18.3333,10.2,4.0
810,16.0,10.7,4.0
811,17.3333,10.3133,3.3333
812,17.0,10.28,4.6667
813,17.6667,10.43,3.6667
814,16.3333,9.8767,4.0
815,19.0,10.1733,3.3333
816,17.3333,9.9767,5.0
817,16.0,10.27,4.0
818,15.6667,9.8733,3.6667
819,15.6667,9.94,3.6667
820,15.3333,10.0967,3.6667
821,14.6667,9.7567,4.0
822,17.3333,10.1033,3.6667
823,20.0,10.1067,4.0
824,16.3333,10.7333,3.6667
825,17.3333,9.76,3.3333
826,17.0,10.2333,3.6667
827,17.3333,10.73,4.3333
828,18.6667,10.35,4.6667
829,17.3333,10.3133,3.6667
830,17.0,9.7833,3.6667
831,16.0,10.04,4.3333
832,16.3333,10.3,4.0
833,17.3333,10.0833,4.3333
834,16.0,10.59,3.3333
835,16.6667,10.05,4.0
836,19.3333,10.15,3.0
837,16.3333,10.0067,4.0
838,16.3333,10.3867,4.0
839,15.6667,10.2867,4.0
840,17.3333,10.42,5.0
841,16.3333,10.35,4.6667
842,17.6667,10.2367,4.3333
843,18.6667,10.4933,4.0
844,17.0,10.2333,5.3333
845,15.0,10.3067,4.0
846,18.6667,10.5267,4.6667
847,19.0,10.1333,4.3333
848,17.3333,10.0867,4.3333
849,19.3333,10.63,4.6667
850,17.6667,10.2267,4.3333
851,18.0,10.4967,4.3333
852,18.0,10.5,3.6667
853,18.3333,10.76,4.3333
854,17.6667,10.7033,4.6667
855,16.0,10.6633,3.0
856,17.0,10.5,5.0
857,18.0,10.27,4.6667
